Code,Description,Period,Name,Expected,Active,File Src,File Dst,Folder Src (Realtime),Folder Dst
H14,Soil Wetness Profile Index in the roots region retrieved by Metop ASCAT surface wetness scatterometer assimilation method - 25 km - data,2012-07-01 :: NOW,h14,1,True,h14_%YYYY%MM%DD_0000.grib.bz2,h14_%YYYY%MM%DD_0000.grib.bz2,/products/h14/h14_cur_mon_grib,/share/HSAF_SM/ecmwf/nrt/h14/%YYYY/%MM/%DD/
H14,Soil Wetness Profile Index in the roots region retrieved by Metop ASCAT surface wetness scatterometer assimilation method - 25 km - auxiliary,2018-10-04 :: NOW,h14,1,False,t14_%YYYY%MM%DD_0000.grib.bz2,t14_%YYYY%MM%DD_0000.grib.bz2,/products/h14_auxiliary/,/share/HSAF_SM/ecmwf/nrt/h14/%YYYY/%MM/%DD/
H27,Scatterometer Root Zone Soil Moisture (RZSM) Data Record 16km resolution,1992-01-01 :: 2014-12-31,h27,1,False,h27_%YYYY%MM%DD00_T1279.grib,h27_%YYYY%MM%DD00_T1279.grib,/products/h27/h27/SMDAS3_%YYYY_T1279/%YYYY%MM/,/share/HSAF_SM/ecmwf/dr/h27_h140/%YYYY/%MM/%DD/
H140,Scatterometer Root Zone Soil Moisture (RZSM) Data Record 16km resolution - Extension,2015-01-01 :: 2016-12-31,h140,1,False,h140_%YYYY%MM%DD00.grib,h140_%YYYY%MM%DD00.grib,/products/h140/h140/SMDAS3_%YYYY_T1279/%YYYY%MM/,/share/HSAF_SM/ecmwf/dr/h27_h140/%YYYY/%MM/%DD/
H141,Scatterometer Root Zone Soil Moisture Climate Data Record 10km resolutiong - GRIB,1992-01-01 :: 2018-12-31,h141,1,False,%YYYY%MM%.tar.gz,%YYYY%MM%.tar.gz,/products/h141/h141/grib/%YYYY/,/share/HSAF_SM/ecmwf/dr/h141/%YYYY/%MM/
H141,Scatterometer Root Zone Soil Moisture Climate Data Record 10km resolutiong - NETCDF,1992-01-01 :: 2018-12-31,h141,1,False,h141_%YYYY%MM%DD00_R01.nc,h141_%YYYY%MM%DD00_R01.nc,/products/h141/h141/netCFD4/%YYYY/,/share/HSAF_SM/ecmwf/dr/h141/%YYYY/%MM/%DD/
H142,Scatterometer Root Zone Soil Moisture Climate Data Record 10km resolution - GRIB,2019-01-01 :: 2021-12-31,h142,1,False,%YYYY%MM%.tar.gz,%YYYY%MM%.tar.gz,/products/h142/h142/grib/%YYYY/,/share/HSAF_SM/ecmwf/dr/h142/%YYYY/%MM/
H142,Scatterometer Root Zone Soil Moisture Climate Data Record 10km resolution - NETCDF,2019-01-01 :: 2021-12-31,h142,1,False,h142_%YYYY%MM%DD00_R01.nc,h142_%YYYY%MM%DD00_R01.nc,/products/h142/h142/netCFD4/%YYYY/,/share/HSAF_SM/ecmwf/dr/h142/%YYYY/%MM/%DD/
H26,Metop ASCAT NRT Root Zone Soil Moisture Profile Index 10km resolution - GRIB,2021-11-04 :: NOW,h26,1,False,h26_%YYYY%MM%DD00_TCO1279.grib.bz2,h26_%YYYY%MM%DD00_TCO1279.grib.bz2,/products/h26/h26_cur_mon_grib/,/share/HSAF_SM/ecmwf/nrt/h26/%YYYY/%MM/%DD/
H26,Metop ASCAT NRT Root Zone Soil Moisture Profile Index 10km resolution - NETCDF,2021-11-04 :: NOW,h26,1,False,h26_%YYYY%MM%DD00_R01.nc,h26_%YYYY%MM%DD00_R01.nc,/products/h26/h26_cur_mon_nc,/share/HSAF_SM/ecmwf/nrt/h26/%YYYY/%MM/%DD/
